minute,player1,zone1,player2,zone2
0,3,3,20,3
0,20,3,19,3
0,19,3,24,4
0,24,4,20,4
0,13,4,24,4
1,13,5,8,6
1,8,6,19,5
1,19,5,13,4
1,13,4,4,8
1,10,8,24,7
1,24,7,4,5
1,4,5,10,8
1,10,8,7,8
1,7,8,24,7
2,24,7,8,6
2,3,3,20,3
2,20,3,8,5
2,8,5,20,5
2,20,5,7,5
2,7,7,10,7
3,13,4,19,4
3,19,4,13,4
4,13,4,7,4
4,24,4,9,5
4,9,5,8,3
4,8,3,19,4
4,19,3,8,3
4,8,3,23,1
4,23,1,8,6
6,13,4,24,4
6,24,4,7,5
6,7,4,19,4
6,19,4,3,3
6,3,3,19,4
6,19,4,24,4
6,24,4,7,5
6,7,5,10,7
6,10,7,20,7
6,20,7,8,6
7,10,9,7,7
7,24,4,8,3
7,13,1,23,1
8,23,1,19,1
8,19,4,13,4
8,13,4,24,4
8,24,2,4,2
8,4,2,24,2
8,24,4,20,4
8,20,4,7,2
8,9,4,7,2
9,7,2,9,2
11,23,1,13,4
11,13,4,4,5
12,4,5,13,4
12,13,4,19,4
12,19,4,13,4
12,13,4,24,2
12,24,2,4,5
12,23,1,19,1
12,19,1,5,4
12,5,4,13,2
13,20,5,19,5
13,19,5,24,5
13,24,5,5,5
13,5,7,24,7
13,24,5,19,5
13,19,5,8,7
14,20,5,22,5
14,22,7,24,7
14,24,7,20,7
14,20,7,8,7
14,8,7,3,7
14,3,7,20,7
14,20,7,10,7
14,10,7,20,7
14,20,7,10,7
14,10,7,22,9
15,10,6,24,8
15,8,5,22,7